hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Taksim Square Hotel,3.8/5,53 reviews,"Gumussuyu Mahallesi Siraselviler Caddesi, No 7 Taksim Istanbul, Istanbul",3.9/5,3.9/5,3.2/5,3.8/5,38+,,269 sq ft,7.0,$119
Manici Kasri,4.7/5,43 reviews,"Yesilyurt Koyu, Kucukkuyu, Ayvacik, Canakkale",4.7/5,4.7/5,5.0/5,4.7/5,44+,5/5 guest room rating,377 sq ft,9.0,$150
Ottoman Suites,2.9/5,50 reviews,"13 Osmanli Bulvari, 40.929938, 29.307190, Istanbul",2.9/5,3.3/5,2.9/5,3.1/5,64+,3.8/5 guest room rating,377 sq ft,8.0,$32
Gorkem Apart Hotel,4.6/5,35 reviews,"Near Municipality Building, Mugla, Mugla",4.7/5,4.7/5,4.3/5,4.6/5,34+,5/5 guest room rating,215 sq ft,8.0,$65
Ece Saray Marina & Resort - Special Class,4.5/5,31 reviews,"1. Karagozler mevkii, Mugla, Mugla",4.6/5,4.0/5,4.6/5,4.1/5,41+,,248 sq ft,13.0,$162
Mom Hotel,4.1/5,64 reviews,"105 Gülistan Caddesi, Istanbul",4.0/5,4.2/5,3.7/5,4.2/5,24+,4.3/5 guest room rating,269 sq ft,5.0,$58
Hatay Hotel Istanbul,3.8/5,51 reviews,"Nöbethane Cad., Serdar Sokak. No: 3, Istanbul, Istanbul",3.5/5,4.2/5,4.0/5,3.4/5,12+,,215 sq ft,7.0,$24
Transatlantik Hotel & Spa - All Inclusive,3.2/5,38 reviews,"Goynuk Mah G. Mustafa Kemal Ataturk Cd., Kemer, Antalya",3.3/5,3.3/5,3.0/5,3.3/5,39+,5/5 guest room rating,194 sq ft,17.0,$63
Q Hotel Laleli,3.6/5,46 reviews,"Mimar Kemalettin Mah. Koska Cad., No 30 Laleli, Istanbul",3.6/5,3.6/5,3.2/5,3.6/5,22+,4.1/5 guest room rating,215 sq ft,6.0,$35
Niconya Port Suite&Hotel,4.0/5,199 reviews,"Yenibosna Zafer Mh. Çalışlar Sk. No: 11, Bahcelievler, Istanbul",4.0/5,4.1/5,3.3/5,3.9/5,46+,4/5 guest room rating,215 sq ft,7.0,$29
Kemer Country Hotel,4.3/5,31 reviews,"Atlispor Cad. Hayat Binsai, No: 7, Gokturk, Eyup, Istanbul",4.7/5,4.2/5,4.8/5,4.4/5,97+,4/5 guest room rating,301 sq ft,14.0,$234
Agan Pansiyon,4.4/5,123 reviews,"Atatürk Cad. No:75, Mugla, Mugla",4.4/5,4.4/5,4.1/5,4.4/5,28+,3.9/5 guest room rating,215 sq ft,8.0,$21
Istanbul Dedem Hotel 1,2.8/5,121 reviews,"Gumuspala Mah. Nadide Sk. No 2, Istanbul, Istanbul",2.9/5,3.1/5,2.0/5,2.6/5,39+,,215 sq ft,12.0,$16
Sunway Hotel,3.9/5,74 reviews,"Siteler Mah. 209 sok No: 19, Marmaris, Mugla",4.0/5,3.7/5,3.0/5,4.0/5,28+,5/5 guest room rating,377 sq ft,11.0,$33
La Siete Hotel,4.2/5,19 reviews,"Lara Cd. 189, Antalya, Antalya",4.2/5,4.0/5,4.5/5,4.1/5,40+,5/5 guest room rating,377 sq ft,10.0,$58
Paradise Airport Hotel,2.8/5,67 reviews,"Sirinevler Mah Maresal Fevzi Cakmak Cad, 1 Sokak No 37 Bahcelievler, Istanbul",3.0/5,3.1/5,3.8/5,2.8/5,32+,5/5 guest room rating,377 sq ft,5.0,$14
